자치구,동,합계,주거,주거,주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,"운송(차량, 철도 등)",임야,기타
마포구,용강동,10,3,-,-,-,-,1,-,-,-,-,-,-,3,2,-,-,-,1
마포구,대흥동,17,6,1,-,-,-,-,-,-,1,-,-,-,5,2,1,-,-,1
마포구,염리동,4,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
마포구,신수동,7,1,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,3
마포구,서교동,73,7,5,-,-,3,-,-,-,-,1,1,-,34,5,3,2,-,12
마포구,합정동,19,7,1,-,-,2,-,-,-,-,-,-,-,1,-,-,3,-,5
마포구,망원1동,16,4,4,-,-,2,-,-,-,-,-,-,-,-,2,-,3,1,-
마포구,망원2동,9,3,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
마포구,연남동,11,1,2,-,-,-,-,-,-,-,-,1,-,3,2,1,1,-,-
마포구,성산1동,9,2,4,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-
마포구,성산2동,13,1,1,-,-,1,-,-,-,-,-,2,-,1,1,1,3,1,1
마포구,상암동,17,1,1,-,1,2,-,-,-,-,-,1,-,1,1,1,4,1,3
마포구,도화동,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
마포구,서강동,18,3,2,-,-,3,-,-,-,-,-,-,-,2,1,-,3,1,3
마포구,공덕동,11,1,2,-,-,1,-,-,-,-,-,1,-,2,2,-,-,-,2
마포구,아현동,13,1,4,-,-,-,1,-,-,-,-,1,-,2,1,1,-,-,2
양천구,소계,218,32,88,8,-,10,10,-,1,-,2,3,1,20,8,8,15,-,12
양천구,목1동,21,-,7,-,-,2,2,-,-,-,-,-,-,3,1,2,3,-,1
양천구,목2동,18,3,6,-,-,-,2,-,-,-,2,-,-,1,2,-,1,-,1
양천구,목3동,9,2,4,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-
양천구,목4동,19,4,6,1,-,-,1,-,-,-,-,-,-,4,1,-,2,-,-
양천구,신월1동,10,3,2,1,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-
양천구,신월2동,6,-,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
양천구,신월3동,17,7,3,2,-,-,-,-,-,-,-,-,-,1,1,-,1,-,2
양천구,신월4동,4,-,1,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-
양천구,신월5동,7,-,4,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-
양천구,신월6동,7,1,4,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
양천구,신월7동,11,-,5,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,2
양천구,신정1동,4,-,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
양천구,신정2동,9,1,5,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1
양천구,신정3동,26,7,14,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1
양천구,신정6동,5,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
양천구,신정7동,14,-,8,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,1
양천구,목5동,11,-,6,-,-,3,1,-,-,-,-,-,-,-,-,1,-,-,-
양천구,신정4동,20,4,3,3,-,1,1,-,-,-,-,1,-,1,-,2,2,-,2
강서구,소계,301,35,102,1,2,16,10,3,3,1,3,-,4,14,8,23,21,5,50
강서구,염창동,10,-,2,-,-,-,2,-,-,-,-,-,-,1,-,1,2,-,2
강서구,등촌1동,9,2,2,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,1
강서구,등촌2동,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
강서구,등촌3동,27,-,9,-,1,3,2,-,1,-,-,-,1,3,-,3,-,-,4
강서구,화곡본동,30,5,14,-,-,-,-,-,-,-,-,-,2,2,1,-,-,1,5
강서구,화곡2동,9,1,6,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-
강서구,화곡3동,11,3,4,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1
강서구,화곡4동,8,2,2,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-
강서구,화곡6동,19,1,6,-,-,1,-,2,-,-,1,-,1,1,1,-,-,1,4
강서구,화곡8동,16,2,6,-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,4
강서구,가양1동,17,-,5,-,-,2,-,-,-,-,-,-,-,-,-,5,2,-,3
강서구,가양2동,7,-,2,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,2
강서구,가양3동,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-
강서구,발산1동,18,-,5,-,-,1,1,-,-,-,1,-,-,-,1,2,2,2,3
강서구,공항동,14,4,3,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,4
강서구,방화1동,12,3,3,-,-,1,1,-,-,-,-,-,-,-,-,1,2,-,1
강서구,방화2동,27,6,6,-,-,-,1,-,-,1,-,-,-,2,-,-,3,1,7
강서구,방화3동,12,-,5,-,-,3,-,-,-,-,-,-,-,-,-,1,1,-,2
강서구,화곡1동,36,5,15,-,-,1,-,1,1,-,-,-,-,2,-,2,3,-,6
강서구,우장산동,11,1,5,1,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-
구로구,소계,221,30,54,-,1,20,9,-,-,-,11,6,2,21,16,8,18,5,20
구로구,신도림동,9,1,1,-,-,1,1,-,-,-,2,-,-,-,1,1,1,-,-
구로구,구로1동,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
구로구,구로3동,21,1,1,-,-,3,-,-,-,-,4,1,1,2,4,3,1,-,-
구로구,구로4동,16,1,9,-,-,1,-,-,-,-,-,-,-,3,1,1,-,-,-
구로구,구로5동,14,2,1,-,-,4,-,-,-,-,1,-,-,2,3,-,1,-,-
구로구,고척1동,12,-,2,-,-,1,4,-,-,-,-,1,-,1,-,-,2,-,1
구로구,고척2동,17,1,9,-,-,1,-,-,-,-,-,-,-,1,1,1,-,1,2
구로구,개봉2동,10,-,3,-,-,1,-,-,-,-,-,-,-,2,1,1,2,-,-
구로구,개봉3동,11,2,3,-,-,1,1,-,-,-,-,-,-,2,-,-,-,1,1
구로구,오류1동,13,2,4,-,-,2,1,-,-,-,1,-,-,2,-,-,1,-,-
구로구,오류2동,18,-,6,-,-,-,-,-,-,-,-,1,-,1,-,-,1,1,8
구로구,수궁동,14,1,4,-,-,-,-,-,-,-,2,-,-,1,-,1,3,1,1
구로구,가리봉동,12,4,-,-,-,1,1,-,-,-,-,-,-,1,3,-,1,-,1
구로구,구로2동,35,11,5,-,-,3,1,-,-,-,-,3,1,2,1,-,3,-,5
구로구,개봉1동,16,4,5,-,1,1,-,-,-,-,1,-,-,1,1,-,1,1,-
금천구,소계,131,15,26,-,1,12,6,-,-,-,18,8,1,15,5,5,13,-,6
금천구,가산동,36,3,4,-,-,5,1,-,-,-,9,3,-,4,1,1,5,-,-
금천구,독산1동,24,-,5,-,1,2,1,-,-,-,7,3,-,1,-,1,2,-,1
금천구,독산2동,4,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1
금천구,독산3동,10,2,2,-,-,1,1,-,-,-,-,-,-,1,1,-,1,-,1
금천구,독산4동,12,4,1,-,-,1,-,-,-,-,-,-,-,3,-,2,-,-,1
금천구,시흥1동,16,1,-,-,-,1,2,-,-,-,2,2,-,3,3,-,1,-,1
금천구,시흥2동,7,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-
금천구,시흥3동,4,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-
금천구,시흥4동,6,1,3,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
금천구,시흥5동,12,4,6,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
영등포구,소계,243,42,39,-,1,17,3,1,2,1,6,13,7,36,12,12,22,3,26
영등포구,여의도동,26,-,3,-,-,8,-,-,-,-,-,-,1,4,-,-,5,1,4
영등포구,당산1동,20,2,3,-,-,2,-,-,-,-,-,3,1,1,1,2,-,-,5
영등포구,당산2동,11,-,2,-,-,2,1,-,-,-,-,-,-,-,1,2,3,-,-
영등포구,양평1동,6,1,1,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,1
영등포구,양평2동,18,3,2,-,-,-,-,-,-,-,2,1,-,1,-,1,6,1,1
영등포구,신길1동,13,6,3,-,-,1,-,-,-,-,-,-,-,2,-,-,1,-,-
영등포구,신길3동,6,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,3
영등포구,신길4동,5,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
영등포구,신길5동,4,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1
영등포구,신길6동,7,2,2,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-
영등포구,신길7동,7,1,2,-,-,-,-,-,1,-,-,-,-,1,-,1,1,-,-
영등포구,대림1동,8,4,1,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-
영등포구,대림2동,23,6,3,-,-,-,-,-,-,-,1,-,-,9,2,-,1,-,1
영등포구,대림3동,17,3,7,-,-,-,-,-,-,-,-,1,1,3,-,1,1,-,-
영등포구,영등포본동,14,4,1,-,-,-,-,-,-,-,-,-,-,2,1,1,1,-,4
영등포구,영등포동,33,3,3,-,-,3,1,1,-,-,1,1,2,5,4,3,1,-,5
영등포구,도림동,8,3,1,-,-,-,-,-,1,-,-,-,-,2,-,-,-,1,-
영등포구,문래동,17,-,3,-,-,1,1,-,-,1,1,6,-,2,-,1,-,-,1
동작구,소계,185,39,45,2,3,5,2,-,2,1,-,-,-,21,5,12,13,-,35
동작구,노량진2동,13,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
동작구,상도1동,20,3,4,-,-,-,-,-,1,-,-,-,-,3,-,1,2,-,6
동작구,상도2동,13,3,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,6
동작구,상도3동,11,2,3,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,4
동작구,상도4동,12,5,2,1,-,-,-,-,-,-,-,-,-,2,1,-,1,-,-
동작구,사당1동,10,2,3,-,-,1,-,-,-,-,-,-,-,1,-,3,-,-,-
동작구,사당3동,12,3,1,-,-,-,-,-,-,-,-,-,-,1,-,2,2,-,3
동작구,사당4동,5,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
동작구,사당5동,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
동작구,대방동,21,2,13,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,3
동작구,신대방1동,5,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
동작구,신대방2동,12,3,3,-,-,1,-,-,-,-,-,-,-,1,-,1,2,-,1
동작구,흑석동,16,4,1,1,3,-,-,-,-,-,-,-,-,3,2,1,1,-,-
동작구,노량진1동,15,1,1,-,-,1,2,-,-,-,-,-,-,2,2,3,2,-,1
동작구,사당2동,17,-,6,-,-,-,-,-,-,-,-,-,-,4,-,1,1,-,5
관악구,소계,285,69,49,-,2,18,4,4,3,-,1,7,5,39,16,12,26,3,27
관악구,보라매동,13,5,3,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,2
관악구,청림동,6,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
관악구,행운동,12,3,1,-,-,2,-,-,-,-,-,-,1,2,-,1,1,-,1
관악구,낙성대동,12,2,-,-,-,1,-,1,-,-,-,2,-,2,1,-,3,-,-
관악구,중앙동,12,1,1,-,-,1,-,-,-,-,-,1,-,3,1,1,2,-,1
관악구,인헌동,12,6,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2
관악구,남현동,10,1,2,-,-,-,-,-,-,-,-,-,-,1,1,1,2,1,1
관악구,서원동,12,2,2,-,-,1,-,-,-,-,-,-,-,3,-,1,1,-,2
관악구,신원동,9,1,3,-,-,2,1,-,-,-,-,-,-,-,1,-,-,1,-
관악구,서림동,10,3,1,-,-,-,-,-,-,-,1,1,-,1,-,1,-,-,2
관악구,신사동,20,8,2,-,-,-,1,-,-,-,-,1,-,4,-,2,-,-,2
관악구,신림동,30,3,2,-,-,2,1,3,-,-,-,-,1,10,4,1,1,-,2
관악구,난향동,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
관악구,조원동,11,1,2,-,-,2,-,-,-,-,-,1,1,1,-,-,2,-,1
관악구,대학동,28,8,1,-,2,2,-,-,1,-,-,-,2,4,3,1,2,1,1
관악구,은천동,20,4,6,-,-,2,-,-,-,-,-,1,-,2,1,-,2,-,2
관악구,성현동,7,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2
관악구,청룡동,21,8,1,-,-,1,-,-,1,-,-,-,-,4,2,1,1,-,2
관악구,난곡동,12,5,4,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-
관악구,삼성동,11,2,4,-,-,-,-,-,1,-,-,-,-,-,-,1,2,-,1
관악구,미성동,14,3,5,-,-,-,1,-,-,-,-,-,-,1,-,-,3,-,1
서초구,소계,303,22,77,1,-,38,15,6,2,4,-,-,4,37,8,13,35,1,40
서초구,서초1동,9,1,-,-,-,4,-,-,-,-,-,-,-,1,-,-,-,-,3
서초구,서초2동,23,-,2,-,-,8,2,4,-,-,-,-,-,3,-,-,2,-,2
서초구,서초3동,32,1,11,-,-,9,2,2,-,-,-,-,1,-,1,1,1,-,3
서초구,서초4동,17,1,1,-,-,2,1,-,-,1,-,-,-,4,2,-,2,-,3
서초구,잠원동,21,1,9,-,-,2,-,-,-,-,-,-,-,2,2,2,2,-,1
서초구,반포1동,23,1,11,-,-,1,2,-,-,-,-,-,-,1,1,-,3,-,3
서초구,반포2동,5,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,1
서초구,반포3동,12,-,3,-,-,2,2,-,-,-,-,-,-,2,-,-,2,-,1
서초구,반포4동,26,2,7,-,-,4,-,-,-,-,-,-,-,5,-,1,3,-,4
서초구,방배본동,10,-,4,-,-,1,-,-,-,-,-,-,1,4,-,-,-,-,-
서초구,방배1동,11,1,3,-,-,-,1,-,-,-,-,-,-,1,2,1,-,-,2
서초구,방배2동,25,8,3,1,-,1,2,-,-,1,-,-,-,1,-,-,2,-,6
서초구,방배3동,14,1,8,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,2
서초구,방배4동,14,1,4,-,-,-,-,-,-,-,-,-,-,4,-,1,2,-,2
서초구,양재1동,22,1,4,-,-,3,1,-,1,1,-,-,2,2,-,-,4,-,3
서초구,양재2동,24,3,5,-,-,1,-,-,-,-,-,-,-,6,-,2,4,1,2
서초구,내곡동,15,-,1,-,-,-,1,-,1,-,-,-,-,1,-,5,4,-,2
강남구,소계,504,30,116,1,1,99,23,5,2,5,1,-,5,59,24,17,29,1,86
강남구,신사동,37,2,2,-,-,8,3,-,-,-,1,-,-,8,1,-,1,-,11
강남구,논현1동,45,6,7,-,-,8,-,-,-,-,-,-,-,7,3,2,4,-,8
강남구,논현2동,30,2,8,-,-,3,-,2,-,-,-,-,-,4,1,-,2,-,8
강남구,삼성1동,14,1,2,-,-,4,1,-,-,1,-,-,-,2,1,-,-,-,2
강남구,삼성2동,27,2,5,-,-,6,-,1,-,-,-,-,-,2,3,1,1,-,6
강남구,대치1동,7,-,5,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
강남구,대치4동,25,-,2,-,-,10,3,-,-,-,-,-,-,3,-,2,-,-,5
강남구,역삼1동,85,6,12,-,-,26,2,1,-,1,-,-,1,17,4,3,1,-,11
강남구,역삼2동,25,3,6,-,-,5,1,1,-,1,-,-,1,1,1,1,-,-,4
강남구,도곡1동,7,-,1,-,-,1,2,-,-,-,-,-,-,-,-,-,3,-,-
강남구,도곡2동,15,1,6,-,-,4,1,-,-,-,-,-,-,1,-,-,-,-,2
강남구,개포1동,12,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
강남구,개포4동,14,1,2,-,-,3,1,-,1,-,-,-,-,1,1,1,1,1,1
강남구,일원본동,4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
강남구,일원1동,11,2,3,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,3
강남구,일원2동,7,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2
강남구,수서동,19,-,12,-,-,1,-,-,-,-,-,-,-,1,-,1,1,-,3
강남구,세곡동,11,1,2,-,-,-,1,-,-,-,-,-,-,-,-,1,4,-,2
강남구,압구정동,33,-,4,-,-,8,2,-,-,1,-,-,1,2,4,2,2,-,7
강남구,청담동,35,2,6,-,-,3,1,-,-,1,-,-,1,9,4,1,2,-,5
강남구,대치2동,24,-,8,-,-,4,3,-,1,-,-,-,-,1,1,1,4,-,1
강남구,개포2동,17,-,10,-,1,3,2,-,-,-,-,-,-,-,-,-,-,-,1
송파구,소계,278,39,78,2,1,21,30,1,2,1,3,-,9,22,5,20,27,5,12
송파구,풍납1동,10,3,1,-,-,-,-,-,-,1,-,-,-,1,1,-,2,1,-
송파구,풍납2동,6,2,-,-,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-
송파구,거여1동,3,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-
송파구,거여2동,8,4,1,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-
송파구,마천1동,10,4,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
송파구,마천2동,11,2,5,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
송파구,방이1동,8,-,1,-,-,-,2,-,-,-,-,-,-,-,1,4,-,-,-
송파구,방이2동,25,1,9,-,-,3,2,-,1,-,-,-,3,3,-,1,2,-,-
송파구,오륜동,6,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-
송파구,오금동,22,3,7,-,-,1,1,-,-,-,1,-,1,1,-,3,3,1,-
송파구,송파1동,16,4,5,1,-,1,4,-,-,-,-,-,1,-,-,-,-,-,-
송파구,송파2동,4,1,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
송파구,석촌동,19,4,3,-,-,3,2,-,-,-,-,-,2,3,-,2,-,-,-
송파구,삼전동,14,6,3,-,-,1,-,-,-,-,-,-,-,-,-,1,2,-,1
송파구,가락본동,24,1,4,-,-,3,6,-,-,-,1,-,1,7,1,-,-,-,-
송파구,가락1동,8,-,-,-,-,-,4,-,-,-,-,-,-,-,-,1,1,-,2
송파구,가락2동,11,1,6,-,-,2,-,-,-,-,-,-,-,1,-,-,1,-,-
송파구,문정1동,10,1,3,-,-,1,1,-,-,-,-,-,-,-,1,-,-,1,2
송파구,문정2동,11,-,4,-,-,2,2,-,-,-,-,-,-,-,-,1,2,-,-
송파구,장지동,8,-,2,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,2
송파구,위례동,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
송파구,잠실본동,15,1,3,-,-,2,2,1,-,-,-,-,1,3,-,1,1,-,-
송파구,잠실4동,4,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
송파구,잠실6동,8,-,2,-,-,-,1,-,-,-,-,-,-,-,-,1,3,-,1
송파구,잠실2동,8,-,3,-,1,-,-,-,-,-,-,-,-,-,1,-,3,-,-
송파구,잠실3동,6,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1
강동구,소계,264,47,59,1,2,9,11,3,1,1,3,6,3,37,10,18,20,7,26
강동구,강일동,15,1,2,-,-,-,1,-,-,-,-,-,-,1,-,1,4,2,3
강동구,상일동,21,4,3,-,1,-,-,-,-,-,-,-,-,3,1,-,2,2,5
강동구,명일1동,11,1,5,-,-,-,1,-,1,-,-,-,-,2,-,-,-,-,1
강동구,명일2동,13,1,4,-,-,-,1,-,-,-,-,-,-,2,-,-,2,-,3
강동구,고덕1동,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
강동구,고덕2동,9,3,2,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,1
강동구,암사2동,5,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
강동구,암사3동,10,-,1,-,-,-,-,-,-,-,-,1,-,-,-,4,1,1,2
강동구,천호1동,12,2,7,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-
강동구,천호3동,20,8,1,-,-,2,-,-,-,1,-,-,-,4,1,1,-,-,2
강동구,성내1동,12,-,2,-,-,-,1,-,-,-,-,-,-,4,-,3,-,-,2
강동구,성내2동,19,9,1,-,-,1,-,-,-,-,-,-,-,2,1,1,2,-,2
강동구,성내3동,20,1,3,-,-,1,3,-,-,-,1,-,1,4,2,2,2,-,-
강동구,둔촌1동,8,-,4,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1
강동구,둔촌2동,11,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,3,1,1
강동구,암사1동,15,2,6,-,-,-,-,-,-,-,1,1,-,3,-,2,-,-,-
강동구,천호2동,29,5,2,1,-,1,1,2,-,-,1,2,1,7,2,-,2,-,2
강동구,길동,31,7,10,-,-,2,2,1,-,-,-,1,1,5,1,-,-,-,1
